Distance (Å),Window 1,Window 2,Window 3,Window 4
60.5,1.9336355946059356,2.3959527435509833,2.7792153667969597,2.832122750727003
61.5,1.8560263435495623,2.2503016084981553,2.598964011619088,2.6848945277432703
62.5,1.7841969294886242,2.115791286033627,2.4374731777075453,2.5512482160603063
63.5,1.71116876319889,1.9955419160049133,2.289121989130995,2.4237398513827553
64.5,1.6440416674004275,1.8835480312818136,2.150243593771874,2.3100603546128426
65.5,1.5833975897178938,1.7762312234363573,2.0361273009801177,2.210680295535363
66.5,1.5252289296427228,1.6863507122746841,1.9375203344801797,2.1259255691715566
67.5,1.4685070351625091,1.598884959546649,1.8481580118591037,2.057131765137105
68.5,1.4211168038328403,1.5227738126182808,1.7784896477167575,2.005600659585726
69.5,1.3715693599087053,1.4560861291068017,1.7188003294377692,1.962209454695851
70.5,1.3296031361477556,1.3950022430409468,1.6660269465237363,1.9169988708856953
71.5,1.2901375756947724,1.3381388481189314,1.6142404531743777,1.8848171767554636
72.5,1.2500754254196809,1.2821910627767745,1.581559000115338,1.8502818079765249
73.5,1.2114939714656936,1.2333997324003974,1.550287206411096,1.8196623448604068
74.5,1.1748258596541006,1.1849425237023319,1.5196273648552454,1.7862809142321163
75.5,1.1384891700228916,1.1419995632014965,1.4900621489080077,1.7563077253007204
76.5,1.103558802401489,1.1011086665449583,1.4614356752580728,1.7277776647005978
77.5,1.0677246358271375,1.0629646023867645,1.4351207144256477,1.6999862145040403
78.5,1.0351291975249919,1.029827818782238,1.4154138639136447,1.6733401197249527
79.5,1.0061346208247641,0.9986476570397833,1.3897190221053362,1.6417236621387572
80.5,0.9747437462269831,0.9713862184840091,1.3692782200892815,1.6141468254258027
81.5,0.9466062367741203,0.948131989753197,1.3461489787346135,1.5838840642667116
82.5,0.920288606272745,0.928927230923632,1.3242868128360947,1.5549411699614826
83.5,0.8959322664377364,0.9119528428422805,1.3031521056136013,1.5252518942099453
84.5,0.8731961346811494,0.8954633064799374,1.2840027643075365,1.4990632942771114
85.5,0.851741140749217,0.8817780207596247,1.269889533454715,1.4736472991570215
86.5,0.8307485769011564,0.8675234366373604,1.261100898694764,1.4502616467148832
87.5,0.8117670411894494,0.8585667208532819,1.2520572153761942,1.4298341944117896
88.5,0.7940421533607382,0.8486364690847047,1.243754268172104,1.4117916621508602
89.5,0.7769768394467088,0.8439166772052152,1.236383437477142,1.3985247349110304
90.5,0.7613224489204983,0.8399439458688299,1.2274068230688073,1.392522328001269
91.5,0.7481275960743512,0.8439180106648693,1.2208058625084222,1.3917351536832958
92.5,0.7344879507057159,0.846881098953851,1.2146206039696548,1.3978791902579797
93.5,0.7233537146431399,0.8527100003695117,1.2124977304761448,1.407710958856377
94.5,0.7115021828686472,0.8598744149122873,1.2116100235400462,1.4187272334211904
95.5,0.7009523292538954,0.8669244386824524,1.2148498607723266,1.4311809286368935
96.5,0.6941076643988096,0.8748993972868827,1.2202971342665239,1.4438032201257205
97.5,0.6874822138862804,0.881715536083329,1.2271840610253466,1.4578799619193354
98.5,0.681738748795999,0.8871451384461645,1.2342401490723773,1.472572632982692
99.5,0.679146098787601,0.8909713227003382,1.2435355708253657,1.4883993105325322
100.5,0.6754026279709128,0.894281624255512,1.2524157874761253,1.503209354771524
101.5,0.6747539539113537,0.8947695312394173,1.2588444510317525,1.513220121075012
102.5,0.674516965882583,0.894700566718443,1.2646198286805348,1.5224306481921555
