Distance (Å),RDF
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,6.01378042236299
5.5,13.52723253458486
6.5,8.994124769604948
7.5,10.065135979796866
8.5,10.149069887593058
9.5,10.109181077701091
10.5,9.606695605435503
11.5,8.819729392593754
12.5,8.495029865930176
13.5,8.256358431067891
14.5,8.006477451751648
15.5,7.582035762397277
16.5,7.22800059921556
17.5,6.977676423700506
18.5,6.683495228246437
19.5,6.334046662157648
20.5,5.92887602449182
21.5,5.577599042279507
22.5,5.265842938850548
23.5,4.964925454526474
24.5,4.647045065612027
25.5,4.349147474807643
26.5,4.112167496615189
27.5,3.8927567967259322
28.5,3.6689021928428556
29.5,3.454386331169176
30.5,3.26195144291762
31.5,3.088857569225702
32.5,2.919877059682251
33.5,2.7523545341978872
34.5,2.5949614360605398
35.5,2.439273135243559
36.5,2.286381695357378
37.5,2.14093587435859
38.5,1.9987630086684651
39.5,1.8666529093456437
40.5,1.7495166824999564
41.5,1.6439057045434262
42.5,1.5439815057524806
43.5,1.4492767794860133
44.5,1.3624665965871636
45.5,1.2798595384747355
46.5,1.2029581502403381
47.5,1.1282290253855851
48.5,1.0535154349068336
49.5,0.9801909196937549
50.5,0.9072435554932954
51.5,0.8368198948131683
52.5,0.7715169491458538
53.5,0.7093532927725745
54.5,0.6521002935496
55.5,0.6003967159101914
56.5,0.5538833417363815
57.5,0.5151730988333125
58.5,0.4819616324443888
59.5,0.4557021619115764
60.5,0.43327193741333475
61.5,0.4147740944044738
62.5,0.4004462114154737
63.5,0.38926635526682224
64.5,0.3802684226003597
65.5,0.3718872598065819
66.5,0.3650357748881156
67.5,0.3596936603886962
68.5,0.3551211668126004
69.5,0.35144080326802074
70.5,0.3484291376899784
71.5,0.3472336073579387
72.5,0.34679787101837833
73.5,0.3477107894268376
74.5,0.3496238771388655
75.5,0.35268995410242165
76.5,0.35627393480014924
77.5,0.3609730758636466
78.5,0.3661121502363406
79.5,0.371743956595067
80.5,0.3782554427879862
81.5,0.3847314738890634
82.5,0.3915864865704072
83.5,0.39888359766298453
84.5,0.4059123898453543
85.5,0.41367397851912624
86.5,0.42112624047745106
87.5,0.42917061262263845
88.5,0.4366062603060569
89.5,0.444216471064294
90.5,0.45180792978665246
91.5,0.4598317839477858
92.5,0.4674359926556479
93.5,0.475454480458103
94.5,0.4832114741098896
95.5,0.49176625720058703
96.5,0.4999700718809782
97.5,0.5089615444075893
98.5,0.5175809337364804
99.5,0.5273220986569099
100.5,0.5365916858587123
101.5,0.5463436987745731
102.5,0.5566373911456646
103.5,0.5667726990720662
104.5,0.5772976804537386
105.5,0.5878780439295541
106.5,0.5988343955851805
107.5,0.6096410917987332
108.5,0.6205355818341822
109.5,0.6316562931575448
110.5,0.6427538297754022
111.5,0.6533695411019863
112.5,0.6642834617660583
113.5,0.6748180502074562
114.5,0.6850157492428872
115.5,0.6948346217938303
116.5,0.7048140304485343
117.5,0.7136124943206091
118.5,0.7225017220243958
119.5,0.7310105550646385
120.5,0.739333865747107
121.5,0.7472840423696798
122.5,0.754612498423899
123.5,0.7625613161449292
124.5,0.7694805179225469
125.5,0.7771421006099297
126.5,0.7847148897546503
127.5,0.7915133138891333
128.5,0.7988094375817147
129.5,0.8061296832845324
130.5,0.8136653499655188
131.5,0.8205535256141538
132.5,0.828246401165002
133.5,0.835589252764134
134.5,0.8433402132483171
135.5,0.8510767824147601
136.5,0.8587628846394981
137.5,0.8668694852800805
138.5,0.8747184605284906
139.5,0.8831781258365624
140.5,0.8917233941630727
141.5,0.900405200606128
142.5,0.9031723933550784
143.5,0.9020763458338606
144.5,0.9009067429429634
145.5,0.899968668217368
146.5,0.8987270991988137
147.5,0.8980216376352577
148.5,0.8962249257379608
149.5,0.8910664076423643
150.5,0.8864503385246189
151.5,0.8819445604572493
152.5,0.8778671476196305
153.5,0.8737920309775679
154.5,0.8697259397409258
155.5,0.8647613000230889
156.5,0.8596684077876476
157.5,0.8539588268288225
158.5,0.8475192171260455
159.5,0.8402670604941992
160.5,0.8322746295753268
161.5,0.8240349667666199
162.5,0.8151662461448336
163.5,0.8052384326202103
164.5,0.7949965036590291
165.5,0.7847808515863388
166.5,0.7733843085705553
167.5,0.7619193131936729
168.5,0.7505468463778364
169.5,0.7380552275153525
170.5,0.7260528316471417
171.5,0.7133623161604659
172.5,0.7006638334844232
173.5,0.6873210680416697
174.5,0.673397922502467
175.5,0.659790142481358
176.5,0.6453245471546821
177.5,0.6308086632031229
178.5,0.6155813731791985
179.5,0.6004402229805417
180.5,0.5849950199442359
181.5,0.5692359658123012
182.5,0.553477537514191
183.5,0.5373188527073282
184.5,0.5215573661429538
185.5,0.5054694605546586
186.5,0.4894842127341701
187.5,0.4735549201175188
188.5,0.45777724729999186
189.5,0.4419341115977359
190.5,0.4264173197106979
191.5,0.4110578852114336
192.5,0.39586316620148615
193.5,0.3807154459882461
194.5,0.36570376112694036
195.5,0.35083945507606806
196.5,0.3363074013741015
197.5,0.3217137503376873
198.5,0.3072438501262848
199.5,0.29284654113195846
200.5,0.27876539161367747
201.5,0.2646141836638478
202.5,0.2506006246099237
203.5,0.236628761039959
204.5,0.22275817972221457
205.5,0.20927686999645945
206.5,0.19731351206686185
207.5,0.18670997306051593
208.5,0.17662383633967277
209.5,0.16729201620774709
210.5,0.15836144926314355
211.5,0.14986725490756356
212.5,0.14182478851220726
213.5,0.13417617895372128
214.5,0.12671498511621493
215.5,0.11957523158853217
216.5,0.11270718654274516
217.5,0.10610210781255562
218.5,0.09972723477848866
219.5,0.09363040041161676
220.5,0.08765622261609071
221.5,0.08196075368693687
222.5,0.07633734562979155
223.5,0.07104250116474499
224.5,0.06586704156390946
225.5,0.0608821238392234
226.5,0.05611673701251244
227.5,0.05153587394182193
228.5,0.047205578354595434
229.5,0.04300744183982403
230.5,0.039039113476350244
231.5,0.03534253348470785
232.5,0.03179396804544301
233.5,0.028474172890653206
234.5,0.025337714062437094
235.5,0.022475916054118573
236.5,0.01976286018361911
237.5,0.01723989064172189
238.5,0.014965188459973643
239.5,0.012848356706193208
240.5,0.010915866377182863
241.5,0.009173191750745692
242.5,0.007602661710281175
243.5,0.006195782785406964
244.5,0.004949978930137931
245.5,0.0038701283904133636
246.5,0.002910842108659174
247.5,0.002109423570770126
248.5,0.0014347647947057307
249.5,0.0008965960181533041
250.5,0.0004891623704180398
251.5,0.0002066864385906629
252.5,4.836129349982675e-05
253.5,9.666708579485651e-07
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
274.5,0.0
275.5,0.0
276.5,0.0
277.5,0.0
278.5,0.0
279.5,0.0
280.5,0.0
281.5,0.0
282.5,0.0
283.5,0.0
284.5,0.0
285.5,0.0
286.5,0.0
287.5,0.0
288.5,0.0
289.5,0.0
290.5,0.0
291.5,0.0
292.5,0.0
293.5,0.0
294.5,0.0
295.5,0.0
296.5,0.0
297.5,0.0
298.5,0.0
299.5,0.0
