Distance (Å),Window 1,Window 2,Window 3,Window 4
61.5,0.7843078430491849,0.6952047338989263,0.27671269975901164,0.2922001526688129
62.5,0.7666499807730992,0.6684485643512813,0.2490342686287288,0.26486598823797436
63.5,0.7486417530057184,0.6480466600102234,0.22543354280608532,0.24390212410160242
64.5,0.7334549123611896,0.6288005477063505,0.205622170740343,0.22646858760766167
65.5,0.7191351287976687,0.6132946591175755,0.18788702294815307,0.21095515646089963
66.5,0.706839079373469,0.6026627129454313,0.17233617284585326,0.1999056370843117
67.5,0.6945490128672003,0.5947243563743202,0.15715473607839772,0.19238631918422078
68.5,0.6835009589028321,0.5885558101792373,0.14357565893350446,0.1853591424720251
69.5,0.6748230173282017,0.5821307242540464,0.1297878204396581,0.17930461920901195
70.5,0.6668075567089773,0.5793659855667525,0.1165942136332884,0.1711419342451545
71.5,0.6585438673222445,0.5775801648617858,0.10587108704366406,0.165586273811536
72.5,0.6506277675188135,0.5756476032802652,0.09617030378154863,0.16106852401921512
73.5,0.6449803705720887,0.5755879061881354,0.08681099775735085,0.15723783602212904
74.5,0.6394928920361905,0.5743003566518411,0.08018074121662651,0.1540344580088969
75.5,0.634811781155831,0.5769492223540845,0.07388181146558323,0.15459407762277463
76.5,0.6303595615995736,0.5757805735174658,0.06901199954489759,0.15606702770419262
77.5,0.6270177467877236,0.5784071563201366,0.06546360831521116,0.1597827454959253
78.5,0.6237506077440234,0.5817926607986157,0.06257150055300478,0.1637111851791366
79.5,0.6226826629110811,0.5830875262498451,0.06099571099589533,0.16989801181075082
80.5,0.6214199808668047,0.5878144436820895,0.06118600601811157,0.17792825986091332
81.5,0.6227567877620568,0.5896486041901132,0.06219889074628975,0.18650625246458752
82.5,0.6233060263760759,0.5946609155584849,0.06403354292577398,0.1957724954160762
83.5,0.6263028569806707,0.5997582440521106,0.0672835734607493,0.2044445986938092
84.5,0.6271738301417024,0.6050800781452214,0.07024583527897883,0.2162256683209901
85.5,0.6319886730551851,0.6120313818007351,0.07469449235789304,0.2267037739865355
86.5,0.6351154584959476,0.6166468095520347,0.07889114208293148,0.23809713206544342
87.5,0.6401643620062704,0.6258625138403957,0.08327344326359977,0.24942280849909676
88.5,0.6435489119037436,0.6317590154723401,0.08799767252054871,0.26080813639349754
89.5,0.6472146937509823,0.639905432653775,0.09243813856409301,0.27254777665469454
90.5,0.6523071895805802,0.6473529833649739,0.0973949849794808,0.28487762098963165
91.5,0.6563709240711306,0.6569262987160267,0.10196265871072593,0.29786387189756525
92.5,0.6608008665806495,0.6660757471233066,0.10667736318662795,0.3091262599836753
93.5,0.6647336355069378,0.6759568489128037,0.11157850476299183,0.3232806725330855
94.5,0.6692762388453002,0.6870506843830563,0.11654073050058597,0.3362145660821376
95.5,0.6735207202566018,0.6985021793283062,0.12193003357852883,0.34941533739438274
96.5,0.6773227782564254,0.7085241224480442,0.12724714754087668,0.3641082872236519
97.5,0.6824627814805687,0.7201952755045599,0.13295932073563999,0.379189892562614
98.5,0.6837949032169789,0.7337716985097061,0.13966165346133294,0.39413095479882715
99.5,0.6878940314180374,0.7454724415499264,0.14626625637782362,0.4100292525091532
100.5,0.6899562540757918,0.7587303950813576,0.1531528725467294,0.4256509728461457
101.5,0.6925471921494405,0.7706135508826111,0.1606758402284869,0.4429679679182391
102.5,0.696810351713595,0.7837662644995143,0.16884433522654838,0.45940415208191127
103.5,0.6986075023393424,0.7957174739802151,0.177320266627804,0.4769590865780681
104.5,0.7035119642507208,0.8078913740243219,0.18648386452159635,0.4950788578205938
105.5,0.7082447970769077,0.8180000035497628,0.19664905500696273,0.5133448768434494
106.5,0.7135086669578403,0.8301762746530699,0.20698363489316,0.5310800539647277
107.5,0.7188869587730301,0.8401373228037362,0.21835865572223354,0.5488547645046755
108.5,0.7263457286016616,0.8474768866577277,0.22966089690341615,0.5678374319853456
109.5,0.7340046687975218,0.8566788410098747,0.24231387767858353,0.5856804519258832
110.5,0.7423176493358068,0.8642787394719065,0.25471154756033,0.6036829558000248
111.5,0.7488097869929261,0.8711541501329341,0.2675772275865809,0.6225961536030673
112.5,0.7578933862538344,0.876655025420712,0.2811077382779309,0.6399519171910608
113.5,0.767912422289793,0.8812983449845005,0.2932879895114925,0.6580229716762707
114.5,0.7772373497013264,0.8850943149431341,0.30675644148443354,0.6752807354332208
115.5,0.786100737135159,0.8881073584992337,0.319892136987211,0.6918634280126544
116.5,0.7968809267354553,0.8912390374026343,0.3327978952449166,0.7088503614338733
117.5,0.8068768143361674,0.891129522754538,0.34665489516620707,0.7241688413788598
118.5,0.816921857248367,0.8913260200768085,0.36000567754167084,0.7400568115578028
119.5,0.8271706771895937,0.8911488322436804,0.3740824850874263,0.7550827064048982
120.5,0.8375572679596921,0.889900760529361,0.3886310089118911,0.7701379115190361
121.5,0.8487737405005557,0.8873177968299774,0.40198824121405397,0.7848977807708987
122.5,0.858085717331425,0.8836912829812351,0.4164112015444736,0.7983031385101684
123.5,0.8686166387115072,0.8796753070395691,0.43244824670993626,0.812906124803522
124.5,0.8789387922366964,0.8745820941036254,0.4454016264892548,0.8253044312724963
125.5,0.8893756550780597,0.8698874928144296,0.4610992584415727,0.8393468027989581
126.5,0.8998904946073832,0.8640095663904147,0.47518317602450205,0.8510300334399803
127.5,0.9093354970767558,0.8581782754409676,0.49056463669619493,0.8624052488757016
128.5,0.919936253747717,0.8510782065142044,0.5053279498932424,0.8747167064698498
129.5,0.9290485370704948,0.8435462169980071,0.520351282871276,0.885984174120695
130.5,0.9394363570343174,0.8368298067374252,0.5357364720152675,0.8992007337785872
131.5,0.9478770650687222,0.8285085918045154,0.5506754358071263,0.909763094028463
132.5,0.9568979856724764,0.8224107240587475,0.5665623600676621,0.9213694781163275
133.5,0.9667662601165145,0.813343115913128,0.581634175042941,0.9334029202249515
134.5,0.9746147421409569,0.8071515896097449,0.597693234568761,0.9459862965506499
135.5,0.9836576089014147,0.7995560930728075,0.6127947056197848,0.9598219893956914
136.5,0.9927293783863198,0.7936378687253344,0.6282336218130928,0.9701853033250415
137.5,1.0007262117243625,0.7875832931285566,0.6436386218556462,0.983674468696833
138.5,1.0088582319261408,0.7806136055428144,0.658378069199083,0.9950907743866906
139.5,1.015221580905839,0.7755712178467568,0.673924524447464,1.0078622062394162
140.5,1.0230777225311398,0.7714005684320876,0.6878826748765132,1.0207345433122474
141.5,1.030067702268237,0.7671253723218889,0.7042672689788755,1.0332650186363825
142.5,1.0255081760091331,0.7524639375871386,0.7190179038941016,1.0451115353699598
143.5,1.015169576335994,0.7328370321868044,0.7337106770216815,1.0548930493066115
144.5,1.0032316321430261,0.7162669185807011,0.7494880519454701,1.0638087981213504
145.5,0.992770629350464,0.702677575487029,0.7650991084262688,1.0714429004371047
146.5,0.981324470511667,0.6894383335839491,0.7810133685589955,1.0768537971861982
147.5,0.9704494155392857,0.6789320469950195,0.7977417013752697,1.0814808261310236
148.5,0.9572477582796526,0.6702027934708694,0.8138702193321355,1.0825268073509406
149.5,0.9382839577232285,0.6626990350397947,0.8295614729451041,1.0782939680175612
150.5,0.91970997263971,0.6564032651291274,0.845583686356081,1.072250413574484
151.5,0.9024152774986884,0.6524338284935277,0.8609671566441985,1.0642594596359762
152.5,0.8849309113455287,0.6486508634902196,0.8753730515251377,1.055961230869728
153.5,0.8704406471099279,0.6460536139163214,0.8872648409013336,1.0483206092452677
154.5,0.8549435433770941,0.6460196686355927,0.8991925400240485,1.0389779337651994
155.5,0.8408707812835078,0.6440656037899801,0.9089290592581173,1.0282694509286143
156.5,0.8256278150759572,0.6429084912868346,0.9174141784379837,1.017659865469182
157.5,0.8115409041282504,0.6421559111770566,0.9253359201908077,1.0053203792393046
158.5,0.7974748052508609,0.6413520414693831,0.9300794232223494,0.9922300642349554
159.5,0.7830147001565885,0.6391360330561068,0.9350615731205566,0.9786767080990152
160.5,0.7688837551235363,0.6375009064885718,0.9386928196687383,0.9634984107349446
161.5,0.7549470133622366,0.635037682855774,0.941597150120544,0.9481502843756303
162.5,0.742156060657149,0.6322415288728691,0.9426451839482055,0.9332152512388735
