Distance (Å),RDF
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,1.3786112556550296
5.5,2.9949498807129005
6.5,1.5320170278230782
7.5,1.870852841170247
8.5,2.4683936624817164
9.5,3.494331302692948
10.5,3.682887940184354
11.5,3.682682629391738
12.5,4.304514691262749
13.5,4.909691704555968
14.5,5.276058346716288
15.5,5.30850898793026
16.5,5.4797204176193
17.5,5.724182048726079
18.5,5.848192583864195
19.5,5.8739369097131435
20.5,5.802116740843995
21.5,5.760895488223451
22.5,5.699767788212698
23.5,5.591067731653237
24.5,5.41273101002206
25.5,5.220730902901599
26.5,5.070868477468064
27.5,4.9279535621942925
28.5,4.7559714951409235
29.5,4.561770569571794
30.5,4.365502448882217
31.5,4.17327853036607
32.5,3.969360162798139
33.5,3.75392264565516
34.5,3.5499499983117877
35.5,3.3451595298531913
36.5,3.1386416866346827
37.5,2.94210705860235
38.5,2.7436808178364216
39.5,2.5531681103913737
40.5,2.381761325717014
41.5,2.2228216977159807
42.5,2.071168834496742
43.5,1.9240788034086875
44.5,1.7908374683148505
45.5,1.6678136288042764
46.5,1.551610392745636
47.5,1.4390869321237785
48.5,1.3300932684627262
49.5,1.2298801284574838
50.5,1.133980324227545
51.5,1.044774644262626
52.5,0.9604721243675687
53.5,0.8848151408930178
54.5,0.8173881462569929
55.5,0.7578297764190407
56.5,0.7034588904770357
57.5,0.656081528804362
58.5,0.6128910030853771
59.5,0.5770075232847561
60.5,0.5423326556367168
61.5,0.5119923796985222
62.5,0.4871354229274241
63.5,0.4663807315933629
64.5,0.44846680745821893
65.5,0.43269598479366056
66.5,0.4203104235009233
67.5,0.409584685304141
68.5,0.40011686362967935
69.5,0.3913847645793883
70.5,0.3833479532935192
71.5,0.3767593284495441
72.5,0.37074059649089464
73.5,0.3660158995698723
74.5,0.3618562876480335
75.5,0.3599146569646909
76.5,0.3576578510954884
77.5,0.3575191740675943
78.5,0.35780756907947464
79.5,0.3590140590021089
80.5,0.3619341892609822
81.5,0.36512210028840636
82.5,0.3692849498990971
83.5,0.37428616570632606
84.5,0.3795171974317905
85.5,0.3861869285812768
86.5,0.39201680719975696
87.5,0.399506019444601
88.5,0.40585022813356
89.5,0.4128446818139475
90.5,0.4202978718631898
91.5,0.4280914024891515
92.5,0.4354768690720011
93.5,0.44369058353813995
94.5,0.4520707037898574
95.5,0.4606380654635008
96.5,0.46909647533985926
97.5,0.4784967369502241
98.5,0.487632684272671
99.5,0.4972056669395698
100.5,0.5066614691061821
101.5,0.5164939783483903
102.5,0.5270013375119474
103.5,0.5369449651536969
104.5,0.5480420028882343
105.5,0.5588641042077226
106.5,0.5702413274180999
107.5,0.5813665113666473
108.5,0.592640359917524
109.5,0.6044803568330138
110.5,0.6160688996814416
111.5,0.6273525325457097
112.5,0.6387222850862879
113.5,0.6499564984435997
114.5,0.6609244823020834
115.5,0.6713273271867
116.5,0.6822780509632382
117.5,0.6920499421020841
118.5,0.7019281519728824
119.5,0.7117234880168923
120.5,0.721410612693806
121.5,0.7306049790027819
122.5,0.7389776134302247
123.5,0.7482848263043956
124.5,0.7559274732787643
125.5,0.7648066602401267
126.5,0.7724213332404246
127.5,0.7800211483254067
128.5,0.7876649624793697
129.5,0.7946450250388725
130.5,0.8027202511385746
131.5,0.8091300812578373
132.5,0.8167330257814788
133.5,0.8237111796876334
134.5,0.831297941236527
135.5,0.838894328280324
136.5,0.8461449389398262
137.5,0.8538505274924743
138.5,0.8606964627232261
139.5,0.8681139863490412
140.5,0.8757540155287644
141.5,0.8836662018284054
142.5,0.8855262233886817
143.5,0.8841703902694474
144.5,0.8832202649060903
145.5,0.8830279005526586
146.5,0.8821932985041121
147.5,0.88218788960151
148.5,0.8810005872235627
149.5,0.8772579336702674
150.5,0.8735285000656384
151.5,0.8700526465709244
152.5,0.8662783725253321
153.5,0.86304576757099
154.5,0.8598166954426532
155.5,0.855570082906839
156.5,0.8509449261813645
157.5,0.8461247175220507
158.5,0.8403274125618225
159.5,0.8340277468318767
160.5,0.8272027099007969
161.5,0.819988655331419
162.5,0.8126307602414956
163.5,0.8041945533295732
164.5,0.7955970078203842
165.5,0.7869530205021799
166.5,0.7773971419200566
167.5,0.7670309032103959
168.5,0.7575631391886621
169.5,0.7457839990687636
170.5,0.7347425652713979
171.5,0.7228632006293898
172.5,0.7109086542572151
173.5,0.6977033472973356
174.5,0.6840315399139336
175.5,0.6703248516578469
176.5,0.6559055616095021
177.5,0.6411960573136611
178.5,0.6254475456291567
179.5,0.6099040846760556
180.5,0.5939267329028947
181.5,0.57740797460911
182.5,0.5606426612869548
183.5,0.5437666581628536
184.5,0.5271454622923585
185.5,0.5100441189061058
186.5,0.49319797112662356
187.5,0.47625992472244155
188.5,0.45950847035465714
189.5,0.4426668842446509
190.5,0.42621904581560516
191.5,0.4099750931079648
192.5,0.3939754189942679
193.5,0.37786195968724756
194.5,0.3619697730683325
195.5,0.34636481461980734
196.5,0.3312253249800454
197.5,0.3160493504072192
198.5,0.30101096376512476
199.5,0.28617635083155946
200.5,0.27178974108536785
201.5,0.25750558910797705
202.5,0.24323800173075685
203.5,0.22909166360164832
204.5,0.2150101024649804
205.5,0.2017411174979567
206.5,0.18983736664512854
207.5,0.1793448760662648
208.5,0.16958688523226034
209.5,0.16058088263930162
210.5,0.15187592858247215
211.5,0.14363156453863937
212.5,0.13586454700096282
213.5,0.12847110145715226
214.5,0.12119869901023211
215.5,0.1143419440288873
216.5,0.10758130024605102
217.5,0.10129811191674679
218.5,0.09506545376292053
219.5,0.08917506492744934
220.5,0.08343471075656539
221.5,0.07798294333275833
222.5,0.07261386807334101
223.5,0.0676064245226993
224.5,0.06265850274668011
225.5,0.05797445987955212
226.5,0.05347268473504466
227.5,0.04911683015745504
228.5,0.0450916442659853
229.5,0.04109451525090959
230.5,0.03742047552266314
231.5,0.033943989138162864
232.5,0.03061144180195249
233.5,0.0274778169531946
234.5,0.024502803907888858
235.5,0.021760993272598443
236.5,0.019127792270722786
237.5,0.016677531077720464
238.5,0.014452462919356092
239.5,0.01239295491586363
240.5,0.01048138969388472
241.5,0.008783985988862151
242.5,0.00724905104177887
243.5,0.005882181983553437
244.5,0.004670746648114379
245.5,0.003636828929907417
246.5,0.0027183913606224556
247.5,0.001958771537600306
248.5,0.0013318162879178347
249.5,0.0008311627318825066
250.5,0.00044992575113335023
251.5,0.00019132526898079632
252.5,4.388094514197199e-05
253.5,7.780961355387396e-07
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
274.5,0.0
275.5,0.0
276.5,0.0
277.5,0.0
278.5,0.0
279.5,0.0
280.5,0.0
281.5,0.0
282.5,0.0
283.5,0.0
284.5,0.0
285.5,0.0
286.5,0.0
287.5,0.0
288.5,0.0
289.5,0.0
290.5,0.0
291.5,0.0
292.5,0.0
293.5,0.0
294.5,0.0
295.5,0.0
296.5,0.0
297.5,0.0
298.5,0.0
299.5,0.0
