Distance (Å),Window 1,Window 2,Window 3,Window 4
61.5,0.5314616720335389,0.6699041283445281,0.2118452409719264,0.24630906212082926
62.5,0.5243875086684371,0.6548098775602402,0.1919204418178855,0.23109442062854918
63.5,0.5175041714725259,0.6448028699665138,0.17561877022427597,0.2195834036432881
64.5,0.5134011858502064,0.6361621047204503,0.16240381061951534,0.20954577949523417
65.5,0.5103906827939639,0.6294919055379042,0.14967501376721656,0.19845089822246434
66.5,0.5091432847905955,0.6247922844561262,0.13723028755054148,0.18944304420555128
67.5,0.5097336602415332,0.6226155733120211,0.12552539947418717,0.1813780486043263
68.5,0.5107558623591908,0.6206696199542227,0.11478746476630598,0.17478627468663682
69.5,0.5140227346245378,0.6187319189631981,0.10371324141811177,0.1698182385622802
70.5,0.5176723086959312,0.6180707148040696,0.09296787611058543,0.165534745793048
71.5,0.5222247814952622,0.6187552925587689,0.08412580616259994,0.16438944422797805
72.5,0.527352199624822,0.6195422863233916,0.07605530095240877,0.16481432239729105
73.5,0.5340866546938247,0.6205314798462547,0.06947721293723888,0.16732887418044975
74.5,0.5414802189599379,0.6217755686043305,0.06464041566864352,0.1712002674922265
75.5,0.548567993132202,0.6240217591308901,0.06139502753316301,0.17737996939565606
76.5,0.5562045305680714,0.6250773319024479,0.05973874782141653,0.18469186511383462
77.5,0.5640713882156668,0.6275479158035606,0.05971852596148609,0.1931823579774315
78.5,0.5720920830676177,0.6305760162197919,0.060489336310201106,0.2019282286506969
79.5,0.5807800305060068,0.6322888704075801,0.06271980554951227,0.2118385225206823
80.5,0.5886162725857043,0.6362032251752326,0.06591909932945447,0.22294600535460463
81.5,0.5977074253127171,0.6384565172631679,0.06973114006206436,0.23370731951621795
82.5,0.6052079114738221,0.6418890216749917,0.07424413262978209,0.24569576464424783
83.5,0.6135811993188672,0.6467147170176855,0.07943666977398871,0.2565073903137043
84.5,0.6197927848995436,0.6503499705555281,0.08502808490401352,0.2691988855863207
85.5,0.6277868138330875,0.6551944575246775,0.09084669571763733,0.2816037559240524
86.5,0.634230038014577,0.6604768158560352,0.09652387742547622,0.29402545328815693
87.5,0.641425712076689,0.6667586201756079,0.10273198315784794,0.30653387094765466
88.5,0.6476603259807237,0.6714511493620203,0.1088230384947572,0.3192737494083951
89.5,0.6523647134322029,0.6779539236310652,0.11488548589049284,0.3324610441722504
90.5,0.6579784420652439,0.6830020355374922,0.12115221218061904,0.3459135863964376
91.5,0.6631669690678362,0.6901321110350136,0.1274826315999144,0.35937557345084137
92.5,0.6676918518783732,0.6963888384964714,0.13375200770057705,0.3727568626734357
93.5,0.6718358917062377,0.7026462910664207,0.14062860288657486,0.387566626360291
94.5,0.6756634210945971,0.7100167039207887,0.14697968801563233,0.4010573369785488
95.5,0.6799462483022132,0.7178859533047407,0.15407337773255234,0.41604536930961267
